Scientific Name,USDA SYMBOL,CoC Region,CVal Orig,CVal New
ABIES BALSAMEA,ABBA,58,4,4
ABIES BALSAMEA,ABBA,58,4,4
ABIES BALSAMEA,ABBA,58,4,4
ABIES BALSAMEA,ABBA,58,4,4
ABIES BALSAMEA,ABBA,58,4,4
ABIES BALSAMEA,ABBA,59,6,6
ABIES BALSAMEA,ABBA,60,9,9
ABIES BALSAMEA,ABBA,82,3,3
ABIES BALSAMEA,ABBA,83,5,5
ABIES BALSAMEA,ABBA,MI,3,3
ABIES BALSAMEA,ABBA,MN,4,4
ABIES BALSAMEA,ABBA,WI,5,5
ACALYPHA RHOMBOIDEA,ACRH,59,2,2
ACALYPHA RHOMBOIDEA,ACRH,IN,0,0
ACALYPHA RHOMBOIDEA,ACRH,WI,0,0
ACER,ACER,58,NA,2
ACER,ACER,WI,NA,3
ACER NEGUNDO,ACNE2,58,2,2
ACER NEGUNDO,ACNE2,61,2,2
ACER NEGUNDO,ACNE2,83,1,1
ACER NEGUNDO,ACNE2,MI,0,0
ACER NEGUNDO,ACNE2,MN,1,1
ACER NEGUNDO,ACNE2,WI,0,0
ACER PENSYLVANICUM,ACPE,58,5,5
ACER PENSYLVANICUM,ACPE,58,5,5
ACER PENSYLVANICUM,ACPE,58,5,5
ACER PENSYLVANICUM,ACPE,58,5,5
ACER PENSYLVANICUM,ACPE,58,5,5
ACER PENSYLVANICUM,ACPE,82,5,5
ACER PLATANOIDES,ACPL,58,0,0
ACER PLATANOIDES,ACPL,59,0,0
ACER PSEUDOPLATANUS,ACPS,59,0,0
ACER RUBRUM,ACRU,58,3,3
ACER RUBRUM,ACRU,58,3,3
ACER RUBRUM,ACRU,58,3,3
ACER RUBRUM,ACRU,58,3,3
ACER RUBRUM,ACRU,58,3,3
ACER RUBRUM,ACRU,58,3,3
ACER RUBRUM,ACRU,58,3,3
ACER RUBRUM,ACRU,59,3,3
ACER RUBRUM,ACRU,59,3,3
ACER RUBRUM,ACRU,59,3,3
ACER RUBRUM,ACRU,59,3,3
ACER RUBRUM,ACRU,59,3,3
ACER RUBRUM,ACRU,60,3,3
ACER RUBRUM,ACRU,61,3,3
ACER RUBRUM,ACRU,61,3,3
ACER RUBRUM,ACRU,62,1,1
ACER RUBRUM,ACRU,82,3,3
ACER RUBRUM,ACRU,83,3,3
ACER RUBRUM,ACRU,83,3,3
ACER RUBRUM,ACRU,IN,NA,5
ACER RUBRUM,ACRU,MI,1,1
ACER RUBRUM,ACRU,MN,NA,3
ACER RUBRUM,ACRU,WI,3,3
ACER RUBRUM VAR. RUBRUM,ACRUR,58,NA,3
ACER RUBRUM VAR. RUBRUM,ACRUR,83,NA,3
ACER RUBRUM VAR. RUBRUM,ACRUR,MN,3,3
ACER SACCHARINUM,ACSA2,58,6,6
ACER SACCHARINUM,ACSA2,58,6,6
ACER SACCHARINUM,ACSA2,59,7,7
ACER SACCHARINUM,ACSA2,61,5,5
ACER SACCHARINUM,ACSA2,82,6,6
ACER SACCHARINUM,ACSA2,83,6,6
ACER SACCHARINUM,ACSA2,83,6,6
ACER SACCHARINUM,ACSA2,IN,1,1
ACER SACCHARINUM,ACSA2,MI,2,2
ACER SACCHARINUM,ACSA2,MN,3,3
ACER SACCHARINUM,ACSA2,WI,2,2
ACER SACCHARUM,ACSA3,58,5,5
ACER SACCHARUM,ACSA3,58,5,5
ACER SACCHARUM,ACSA3,58,5,5
ACER SACCHARUM,ACSA3,58,5,5
ACER SACCHARUM,ACSA3,58,5,5
ACER SACCHARUM,ACSA3,59,6,6
ACER SACCHARUM,ACSA3,61,6,6
ACER SACCHARUM,ACSA3,61,6,6
ACER SACCHARUM,ACSA3,83,6,6
ACER SACCHARUM,ACSA3,IN,NA,4
ACER SACCHARUM,ACSA3,MI,5,5
ACER SACCHARUM,ACSA3,MN,NA,5
ACER SACCHARUM,ACSA3,WI,5,5
ACER SACCHARUM VAR. SACCHARUM,ACSAS,58,NA,5
