"Code","Year","site_type","AA","BUFF","site_type_fac"
"GRME01",2025,"ACAD GRME",2,4,"ACAD GRME"
"GRME02",2025,"ACAD GRME",2,1,"ACAD GRME"
"GRME03",2025,"ACAD GRME",3,4,"ACAD GRME"
"GRME04",2025,"ACAD GRME",2,2,"ACAD GRME"
"GRME05",2025,"ACAD GRME",2,2,"ACAD GRME"
"GRME06",2025,"ACAD GRME",2,1,"ACAD GRME"
"GRME07",2025,"ACAD GRME",2,5,"ACAD GRME"
"GRME08",2025,"ACAD GRME",5,4,"ACAD GRME"
"GRME09",2025,"ACAD GRME",2,2,"ACAD GRME"
"GRME10",2025,"ACAD GRME",1,2,"ACAD GRME"
"R-01",2022,"ACAD RAM",0,0,"ACAD RAM"
"R-02",2022,"ACAD RAM",1,0,"ACAD RAM"
"R-03",2022,"ACAD RAM",0,0,"ACAD RAM"
"R-04",2022,"ACAD RAM",6,6,"ACAD RAM"
"R-05",2022,"ACAD RAM",0,0,"ACAD RAM"
"R-06",2022,"ACAD RAM",1,0,"ACAD RAM"
"R-07",2022,"ACAD RAM",0,0,"ACAD RAM"
"R-08",2022,"ACAD RAM",0,0,"ACAD RAM"
"R-09",2022,"ACAD RAM",0,0,"ACAD RAM"
"R-10",2022,"ACAD RAM",0,0,"ACAD RAM"
"R-11",2023,"ACAD RAM",0,0,"ACAD RAM"
"R-12",2023,"ACAD RAM",2,0,"ACAD RAM"
"R-13",2023,"ACAD RAM",10,3,"ACAD RAM"
"R-14",2023,"ACAD RAM",1,0,"ACAD RAM"
"R-15",2023,"ACAD RAM",1,2,"ACAD RAM"
"R-16",2023,"ACAD RAM",1,0,"ACAD RAM"
"R-17",2023,"ACAD RAM",0,1,"ACAD RAM"
"R-18",2023,"ACAD RAM",1,0,"ACAD RAM"
"R-19",2023,"ACAD RAM",4,1,"ACAD RAM"
"R-20",2023,"ACAD RAM",1,0,"ACAD RAM"
"R-21",2024,"ACAD RAM",1,0,"ACAD RAM"
"R-22",2024,"ACAD RAM",1,0,"ACAD RAM"
"R-23",2024,"ACAD RAM",1,2,"ACAD RAM"
"R-24",2024,"ACAD RAM",1,2,"ACAD RAM"
"R-25",2024,"ACAD RAM",1,4,"ACAD RAM"
