"Code","Panel","X","Y","Year","meanC","Bryophyte_Cover","Invasive_Cover","Cover_Tolerant","vmmi","vmmi_rating","vmmi_rating_orig","FWS_Class_Code","HGM_Class","mean_wet","site_type"
"R-01",1,552812.491731,4899852.80191,2012,4.75757575757576,20,0,15,63.2999979498342,"Good","Fair","PSS","Flats",-1.90625,"ACAD RAM"
"R-01",1,552812.491731,4899852.80191,2017,4.7,20,0,10,63.7851208406747,"Good","Fair","PSS","Flats",-2.10810810810811,"ACAD RAM"
"R-01",1,552812.491731,4899852.80191,2022,4.67894736842105,20,0,31.1,60.1011937862104,"Fair","Fair","PSS","Flats",-2.14285714285714,"ACAD RAM"
"R-02",1,560332.196155,4914805.63655,2012,4.375,98,0.1,96.3,67.0370763899384,"Good","Good","PSS","Depression",-2.53333333333333,"ACAD RAM"
"R-02",1,560332.196155,4914805.63655,2017,4.24,98,0.1,48.2,74.3006422119993,"Good","Good","PSS","Depression",-2.5045871559633,"ACAD RAM"
"R-02",1,560332.196155,4914805.63655,2022,4.53333333333333,95,1,69.1,71.5407378691996,"Good","Good","PSS","Depression",-2.63793103448276,"ACAD RAM"
"R-03",1,553060.802718,4899645.99502,2012,5.34615384615385,95,0,12,86.5242674293398,"Good","Good","PFO","Flats",-2.08,"ACAD RAM"
"R-03",1,553060.802718,4899645.99502,2017,5.23076923076923,98,0,25.1,84.3656470439833,"Good","Good","PFO","Flats",-1.92307692307692,"ACAD RAM"
"R-03",1,553060.802718,4899645.99502,2022,5.25,98,0,31.2,83.4575692907992,"Good","Good","PFO","Flats",-2.08333333333333,"ACAD RAM"
"R-04",1,563269.166259,4913128.61634,2012,3.15294117647059,1,1,92.2,35.19173925277,"Poor","Poor","PSS","Riverine",-1.76666666666667,"ACAD RAM"
"R-04",1,563269.166259,4913128.61634,2017,3.39555555555556,1,1,111.1,33.5128166635784,"Poor","Poor","PSS","Riverine",-1.84090909090909,"ACAD RAM"
"R-04",1,563269.166259,4913128.61634,2022,3.17,1,0.1,112.2,32.225082571611,"Poor","Poor","PSS","Riverine",-2.07894736842105,"ACAD RAM"
"R-05",1,554170.417039,4899429.1007,2012,5.52272727272727,95,0,32,84.2506991250907,"Good","Good","PSS","Flats",-2.69767441860465,"ACAD RAM"
"R-05",1,554170.417039,4899429.1007,2017,5.48148148148148,95,0,35,83.4897856861482,"Good","Good","PSS","Flats",-3.11320754716981,"ACAD RAM"
"R-05",1,554170.417039,4899429.1007,2022,5.57692307692308,99,0,20,87.6195688514506,"Good","Good","PSS","Flats",-3.19607843137255,"ACAD RAM"
"R-06",1,551129.094346,4903869.19435,2012,4.41363636363636,85,0,121.5,59.7600256508284,"Fair","Fair","PFO","Slope",-1.46,"ACAD RAM"
"R-06",1,551129.094346,4903869.19435,2017,4.38983050847458,85,0,143.4,55.9243042187516,"Fair","Fair","PFO","Slope",-1.93103448275862,"ACAD RAM"
"R-06",1,551129.094346,4903869.19435,2022,4.42424242424242,90,0.1,155.3,56.1718346218516,"Fair","Fair","PFO","Slope",-2.046875,"ACAD RAM"
"R-07",1,554225.92235,4898883.54017,2012,5.03030303030303,95,0,20.2,83.1853179052805,"Good","Good","PSS","Flats",-1.78125,"ACAD RAM"
"R-07",1,554225.92235,4898883.54017,2017,4.87179487179487,99,0.1,54.2,77.4559553587846,"Good","Good","PSS","Flats",-1.71052631578947,"ACAD RAM"
"R-07",1,554225.92235,4898883.54017,2022,5.02564102564103,96,0,52.2,78.0216175855124,"Good","Good","PSS","Flats",-1.71052631578947,"ACAD RAM"
"R-08",1,553930.395025,4898479.46372,2012,5.06521739130435,85,0,35,78.3665945805724,"Good","Good","PSS","Flats",-1.22222222222222,"ACAD RAM"
"R-08",1,553930.395025,4898479.46372,2017,5.20454545454545,85,0,35,79.2303072081951,"Good","Good","PSS","Flats",-1.62790697674419,"ACAD RAM"
"R-08",1,553930.395025,4898479.46372,2022,5.21739130434783,85,0,25,80.9940251579476,"Good","Good","PSS","Flats",-1.70454545454545,"ACAD RAM"
"R-09",1,554076.131125,4918278.03291,2012,5.13636363636364,95,0,40,80.5083132328546,"Good","Good","PSS","Flats",-1.38095238095238,"ACAD RAM"
"R-09",1,554076.131125,4918278.03291,2017,5.125,92,0,45,78.8330112481457,"Good","Good","PSS","Flats",-1.69565217391304,"ACAD RAM"
"R-09",1,554076.131125,4918278.03291,2022,5.22727272727273,85,0,27,80.7184643985506,"Good","Good","PSS","Flats",-1.85714285714286,"ACAD RAM"
"R-10",1,555277.063614,4913417.88128,2012,4.45714285714286,92,0,92.2,66.743998123359,"Good","Good","PFO","Depression",-0.714285714285714,"ACAD RAM"
"R-10",1,555277.063614,4913417.88128,2017,4.5625,92,0,52.4,74.0997784206727,"Good","Good","PFO","Depression",-1.6304347826087,"ACAD RAM"
"R-10",1,555277.063614,4913417.88128,2022,4.62,90,0,49.4,74.4529105270271,"Good","Good","PFO","Depression",-1.61224489795918,"ACAD RAM"
"R-11",2,574383.580485,4912058.53364,2013,4.63793103448276,85,0,51.1,73.0064147228499,"Good","Good","PEM","Depression",-2.46428571428571,"ACAD RAM"
"R-11",2,574383.580485,4912058.53364,2018,4.66666666666667,85,0,41.4,74.8181129361396,"Good","Good","PEM","Depression",-2.69230769230769,"ACAD RAM"
"R-11",2,574383.580485,4912058.53364,2023,4.6969696969697,85,0,62.2,71.5030687970942,"Good","Good","PEM","Depression",-2.609375,"ACAD RAM"
"R-12",2,554430.016725,4918013.37375,2013,5.4,80,0,40,78.3285545293674,"Good","Good","PSS","Flats",-1.375,"ACAD RAM"
"R-12",2,554430.016725,4918013.37375,2018,5.22222222222222,80,0,50,75.5424022933936,"Good","Good","PSS","Flats",-1.40740740740741,"ACAD RAM"
"R-12",2,554430.016725,4918013.37375,2023,5.31034482758621,60,0,75,66.7930408260485,"Good","Good","PSS","Flats",-1.64285714285714,"ACAD RAM"
"R-13",2,562796.77,4913159.71,2013,3.10322580645161,0.1,1,143.3,26.0490291046532,"Poor","Poor","PEM","Depression",-3,"ACAD RAM"
"R-13",2,562796.77,4913159.71,2018,2.95952380952381,0.1,0.1,141.4,26.0302516027289,"Poor","Poor","PEM","Depression",-2.125,"ACAD RAM"
"R-13",2,562796.77,4913159.71,2023,2.83280701754386,0.1,0.1,155.6,24.4891455376337,"Poor","Poor","PEM","Depression",-1.66,"ACAD RAM"
"R-14",2,554463.780502,4917872.67327,2013,5.23076923076923,75,0,59,72.8083517470113,"Good","Good","PSS","Flats",-1.64,"ACAD RAM"
"R-14",2,554463.780502,4917872.67327,2018,5,75,0,55,72.0514174806002,"Good","Good","PSS","Flats",-1.15384615384615,"ACAD RAM"
"R-14",2,554463.780502,4917872.67327,2023,5,60,0,36,71.4371042224086,"Good","Good","PSS","Flats",-1.11111111111111,"ACAD RAM"
"R-15",2,548495.68,4904367.48,2013,4.18028169014084,65,0,170.6,48.3355623026283,"Fair","Poor","PFO","Depression",-1.31818181818182,"ACAD RAM"
"R-15",2,548495.68,4904367.48,2018,4.01369863013699,65,0,206.4,47.3028924360819,"Fair","Poor","PFO","Depression",-1.37142857142857,"ACAD RAM"
"R-15",2,548495.68,4904367.48,2023,4.12613636363636,65,0.1,203.3,47.9670458633714,"Fair","Poor","PFO","Depression",-1.25609756097561,"ACAD RAM"
"R-16",2,552018.34135,4903001.60082,2013,3.76491228070175,30,0.1,121.5,41.720698962701,"Fair","Poor","PFO","Riverine",-1.83018867924528,"ACAD RAM"
"R-16",2,552018.34135,4903001.60082,2018,3.8,30,0.1,142.5,38.4016340302155,"Poor","Poor","PFO","Riverine",-1.67741935483871,"ACAD RAM"
"R-16",2,552018.34135,4903001.60082,2023,3.83765432098765,40,0.1,143.2,41.0598884214204,"Poor","Poor","PFO","Riverine",-1.6986301369863,"ACAD RAM"
"R-17",2,5593017,4914819,2013,4.73076923076923,45,0,40.4,65.2130361165587,"Good","Fair","PSS","Depression",-3.73076923076923,"ACAD RAM"
"R-17",2,5593017,4914819,2018,4.76666666666667,45,0,87.1,57.5708926042009,"Fair","Fair","PSS","Depression",-3.43333333333333,"ACAD RAM"
