"Code","Panel","LAT_DD83","LON_DD83","Year","HGM_Class","site_type","meanC","Bryophyte_Cover","Invasive_Cover","Cover_Tolerant","vmmi","vmmi_rating"
"R-01",1,-68.3384939577714,44.2499969414017,2012,"Flats","ACAD RAM",4.75757575757576,20,0,15,63.2999979498342,"Good"
"R-01",1,-68.3384939577714,44.2499969414017,2017,"Flats","ACAD RAM",4.7,20,0,10,63.7851208406747,"Good"
"R-01",1,-68.3384939577714,44.2499969414017,2022,"Flats","ACAD RAM",4.67894736842105,20,0,31.1,60.1011937862104,"Fair"
"R-02",1,-68.2425834155958,44.3840214573794,2012,"Depression","ACAD RAM",4.375,98,0.1,96.3,67.0370763899384,"Good"
"R-02",1,-68.2425834155958,44.3840214573794,2017,"Depression","ACAD RAM",4.24,98,0.1,48.2,74.3006422119993,"Good"
"R-02",1,-68.2425834155958,44.3840214573794,2022,"Depression","ACAD RAM",4.53333333333333,95,1,69.1,71.5407378691996,"Good"
"R-03",1,-68.3354048962246,44.2481171081204,2012,"Flats","ACAD RAM",5.34615384615385,95,0,12,86.5242674293398,"Good"
"R-03",1,-68.3354048962246,44.2481171081204,2017,"Flats","ACAD RAM",5.23076923076923,98,0,25.1,84.3656470439833,"Good"
"R-03",1,-68.3354048962246,44.2481171081204,2022,"Flats","ACAD RAM",5.25,98,0,31.2,83.4575692907992,"Good"
"R-04",1,-68.2059198900939,44.3686744094638,2012,"Riverine","ACAD RAM",3.15294117647059,1,1,92.2,35.19173925277,"Poor"
"R-04",1,-68.2059198900939,44.3686744094638,2017,"Riverine","ACAD RAM",3.39555555555556,1,1,111.1,33.5128166635784,"Poor"
"R-04",1,-68.2059198900939,44.3686744094638,2022,"Riverine","ACAD RAM",3.17,1,0.1,112.2,32.225082571611,"Poor"
"R-05",1,-68.3215302008483,44.2460828209231,2012,"Flats","ACAD RAM",5.52272727272727,95,0,32,84.2506991250907,"Good"
"R-05",1,-68.3215302008483,44.2460828209231,2017,"Flats","ACAD RAM",5.48148148148148,95,0,35,83.4897856861482,"Good"
"R-05",1,-68.3215302008483,44.2460828209231,2022,"Flats","ACAD RAM",5.57692307692308,99,0,20,87.6195688514506,"Good"
"R-06",1,-68.3591853872769,44.2862747531465,2012,"Slope","ACAD RAM",4.41363636363636,85,0,121.5,59.7600256508284,"Fair"
"R-06",1,-68.3591853872769,44.2862747531465,2017,"Slope","ACAD RAM",4.38983050847458,85,0,143.4,55.9243042187516,"Fair"
"R-06",1,-68.3591853872769,44.2862747531465,2022,"Slope","ACAD RAM",4.42424242424242,90,0.1,155.3,56.1718346218516,"Fair"
"R-07",1,-68.3208915661463,44.2411672864252,2012,"Flats","ACAD RAM",5.03030303030303,95,0,20.2,83.1853179052805,"Good"
"R-07",1,-68.3208915661463,44.2411672864252,2017,"Flats","ACAD RAM",4.87179487179487,99,0.1,54.2,77.4559553587846,"Good"
"R-07",1,-68.3208915661463,44.2411672864252,2022,"Flats","ACAD RAM",5.02564102564103,96,0,52.2,78.0216175855124,"Good"
"R-08",1,-68.3246340162695,44.2375515280184,2012,"Flats","ACAD RAM",5.06521739130435,85,0,35,78.3665945805724,"Good"
"R-08",1,-68.3246340162695,44.2375515280184,2017,"Flats","ACAD RAM",5.20454545454545,85,0,35,79.2303072081951,"Good"
"R-08",1,-68.3246340162695,44.2375515280184,2022,"Flats","ACAD RAM",5.21739130434783,85,0,25,80.9940251579476,"Good"
"R-09",1,-68.3207553226268,44.4157745925048,2012,"Flats","ACAD RAM",5.13636363636364,95,0,40,80.5083132328546,"Good"
"R-09",1,-68.3207553226268,44.4157745925048,2017,"Flats","ACAD RAM",5.125,92,0,45,78.8330112481457,"Good"
"R-09",1,-68.3207553226268,44.4157745925048,2022,"Flats","ACAD RAM",5.22727272727273,85,0,27,80.7184643985506,"Good"
"R-10",1,-68.3061887768606,44.371931716241,2012,"Depression","ACAD RAM",4.45714285714286,92,0,92.2,66.743998123359,"Good"
"R-10",1,-68.3061887768606,44.371931716241,2017,"Depression","ACAD RAM",4.5625,92,0,52.4,74.0997784206727,"Good"
"R-10",1,-68.3061887768606,44.371931716241,2022,"Depression","ACAD RAM",4.62,90,0,49.4,74.4529105270271,"Good"
"R-11",2,-68.0665948433678,44.3579869398056,2013,"Depression","ACAD RAM",4.63793103448276,85,0,51.1,73.0064147228499,"Good"
"R-11",2,-68.0665948433678,44.3579869398056,2018,"Depression","ACAD RAM",4.66666666666667,85,0,41.4,74.8181129361396,"Good"
"R-11",2,-68.0665948433678,44.3579869398056,2023,"Depression","ACAD RAM",4.6969696969697,85,0,62.2,71.5030687970942,"Good"
"R-12",2,-68.3163382758398,44.4133655551529,2013,"Flats","ACAD RAM",5.4,80,0,40,78.3285545293674,"Good"
"R-12",2,-68.3163382758398,44.4133655551529,2018,"Flats","ACAD RAM",5.22222222222222,80,0,50,75.5424022933936,"Good"
"R-12",2,-68.3163382758398,44.4133655551529,2023,"Flats","ACAD RAM",5.31034482758621,60,0,75,66.7930408260485,"Good"
"R-13",2,-68.2118445385926,44.3689953789024,2013,"Depression","ACAD RAM",3.10322580645161,0.1,1,143.3,26.0490291046532,"Poor"
"R-13",2,-68.2118445385926,44.3689953789024,2018,"Depression","ACAD RAM",2.95952380952381,0.1,0.1,141.4,26.0302516027289,"Poor"
"R-13",2,-68.2118445385926,44.3689953789024,2023,"Depression","ACAD RAM",2.83280701754386,0.1,0.1,155.6,24.4891455376337,"Poor"
"R-14",2,-68.3159289857143,44.4120964003125,2013,"Flats","ACAD RAM",5.23076923076923,75,0,59,72.8083517470113,"Good"
"R-14",2,-68.3159289857143,44.4120964003125,2018,"Flats","ACAD RAM",5,75,0,55,72.0514174806002,"Good"
"R-14",2,-68.3159289857143,44.4120964003125,2023,"Flats","ACAD RAM",5,60,0,36,71.4371042224086,"Good"
"R-15",2,-68.3921425157583,44.2909409722641,2013,"Depression","ACAD RAM",4.18028169014084,65,0,170.6,48.3355623026283,"Fair"
"R-15",2,-68.3921425157583,44.2909409722641,2018,"Depression","ACAD RAM",4.01369863013699,65,0,206.4,47.3028924360819,"Fair"
"R-15",2,-68.3921425157583,44.2909409722641,2023,"Depression","ACAD RAM",4.12613636363636,65,0.1,203.3,47.9670458633714,"Fair"
"R-16",2,-68.3481273019141,44.2784011965738,2013,"Riverine","ACAD RAM",3.76491228070175,30,0.1,121.5,41.720698962701,"Fair"
"R-16",2,-68.3481273019141,44.2784011965738,2018,"Riverine","ACAD RAM",3.8,30,0.1,142.5,38.4016340302155,"Poor"
"R-16",2,-68.3481273019141,44.2784011965738,2023,"Riverine","ACAD RAM",3.83765432098765,40,0.1,143.2,41.0598884214204,"Poor"
"R-17",2,-17.9452387931029,31.5348446146721,2013,"Depression","ACAD RAM",4.73076923076923,45,0,40.4,65.2130361165587,"Good"
"R-17",2,-17.9452387931029,31.5348446146721,2018,"Depression","ACAD RAM",4.76666666666667,45,0,87.1,57.5708926042009,"Fair"
"R-17",2,-17.9452387931029,31.5348446146721,2023,"Depression","ACAD RAM",4.51515151515152,57,0,89.2,58.7093195391192,"Fair"
"R-18",2,-68.2957320817992,44.3796274076189,2013,"Flats","ACAD RAM",6.02777777777778,99,0,3,93.2774195508598,"Good"
"R-18",2,-68.2957320817992,44.3796274076189,2018,"Flats","ACAD RAM",5.73809523809524,99,0,3,91.4816401385482,"Good"
"R-18",2,-68.2957320817992,44.3796274076189,2023,"Flats","ACAD RAM",5.825,99,0,7,91.3467400139977,"Good"
"R-19",2,-68.2069155630812,44.3661930914957,2013,"Riverine","ACAD RAM",3.96521739130435,0,0,121.3,35.4008114206992,"Poor"
"R-19",2,-68.2069155630812,44.3661930914957,2018,"Riverine","ACAD RAM",4.13392857142857,0,0.1,78.3,43.6553761425842,"Fair"
"R-19",2,-68.2069155630812,44.3661930914957,2023,"Riverine","ACAD RAM",4.56521739130435,0,0,64.2,48.7364133899853,"Fair"
"R-20",2,-68.3497795835116,44.2597358283346,2013,"Slope","ACAD RAM",4.7,97,0.1,57.3,75.3654526534665,"Good"
"R-20",2,-68.3497795835116,44.2597358283346,2018,"Slope","ACAD RAM",4.71052631578947,97,0.1,65.1,74.1171204431294,"Good"
"R-20",2,-68.3497795835116,44.2597358283346,2023,"Slope","ACAD RAM",4.46153846153846,95,0.1,73.1,70.7178014677791,"Good"
"R-21",3,-68.3532948685453,44.2726632031669,2014,"Depression","ACAD RAM",3.89144736842105,20,0.1,99.5,43.6673766594384,"Fair"
"R-21",3,-68.3532948685453,44.2726632031669,2019,"Depression","ACAD RAM",3.81084337349398,15,0.1,152,33.298922258864,"Poor"
"R-21",3,-68.3532948685453,44.2726632031669,2024,"Depression","ACAD RAM",3.75185185185185,15,1,186.3,32.6374629968123,"Poor"
"R-22",3,-68.384193222716,44.3375656204563,2014,"Slope","ACAD RAM",4.55555555555556,60,0.1,43.2,67.4365321228703,"Good"
"R-22",3,-68.384193222716,44.3375656204563,2019,"Slope","ACAD RAM",4.55,80,0,41.1,72.8740456029543,"Good"
"R-22",3,-68.384193222716,44.3375656204563,2024,"Slope","ACAD RAM",4.59183673469388,75,0.1,52.3,69.9430011101829,"Good"
"R-23",3,-68.240417496762,44.3915187462527,2014,"Depression","ACAD RAM",4.97777777777778,95,0.1,67.2,74.9116456216303,"Good"
"R-23",3,-68.240417496762,44.3915187462527,2019,"Depression","ACAD RAM",5.16279069767442,98,0,94,72.3408945943419,"Good"
"R-23",3,-68.240417496762,44.3915187462527,2024,"Depression","ACAD RAM",5,99,0.1,67,76.0950868436566,"Good"
"R-24",3,-68.3101848046471,44.2377851239715,2014,"Depression","ACAD RAM",5.26666666666667,95,0,77.1,75.0681236477321,"Good"
